#           k/h    P           
   0.720539E-01   0.921361E+04
   0.735095E-01   0.902719E+04
   0.749945E-01   0.883012E+04
   0.765095E-01   0.862269E+04
   0.780551E-01   0.840548E+04
   0.796319E-01   0.817938E+04
   0.812406E-01   0.794605E+04
   0.828817E-01   0.770727E+04
   0.845561E-01   0.746503E+04
   0.862642E-01   0.722164E+04
   0.880068E-01   0.697929E+04
   0.897847E-01   0.674031E+04
   0.915985E-01   0.650699E+04
   0.934489E-01   0.628154E+04
   0.953367E-01   0.606629E+04
   0.972626E-01   0.586327E+04
   0.992274E-01   0.567421E+04
   0.101232E+00   0.550057E+04
   0.103277E+00   0.534355E+04
   0.105363E+00   0.520332E+04
   0.107492E+00   0.507958E+04
   0.109663E+00   0.497155E+04
   0.111879E+00   0.487717E+04
   0.114139E+00   0.479428E+04
   0.116445E+00   0.472007E+04
   0.118797E+00   0.465139E+04
   0.121197E+00   0.458507E+04
   0.123645E+00   0.451786E+04
   0.126143E+00   0.444673E+04
   0.128691E+00   0.436905E+04
   0.131291E+00   0.428262E+04
   0.133943E+00   0.418623E+04
   0.136649E+00   0.407928E+04
   0.139409E+00   0.396252E+04
   0.142226E+00   0.383731E+04
   0.145099E+00   0.370594E+04
   0.148030E+00   0.357114E+04
   0.151020E+00   0.343629E+04
   0.154071E+00   0.330486E+04
   0.157184E+00   0.318047E+04
   0.160359E+00   0.306635E+04
   0.163598E+00   0.296516E+04
   0.166903E+00   0.287745E+04
   0.170275E+00   0.280268E+04
   0.173715E+00   0.273954E+04
   0.177224E+00   0.268570E+04
   0.180804E+00   0.263805E+04
   0.184457E+00   0.259343E+04
   0.188183E+00   0.254850E+04
   0.191985E+00   0.249987E+04
   0.195863E+00   0.244472E+04
   0.199820E+00   0.238187E+04
   0.203856E+00   0.231188E+04
   0.207974E+00   0.223665E+04
   0.212176E+00   0.215881E+04
   0.216462E+00   0.208141E+04
   0.220835E+00   0.200751E+04
   0.225296E+00   0.193982E+04
   0.229847E+00   0.188019E+04
   0.234490E+00   0.182909E+04
   0.239227E+00   0.178558E+04
   0.244060E+00   0.174770E+04
   0.248990E+00   0.171281E+04
   0.254020E+00   0.167808E+04
   0.259152E+00   0.164090E+04
   0.264387E+00   0.159998E+04
   0.269728E+00   0.155562E+04
   0.275177E+00   0.150857E+04
   0.280736E+00   0.146138E+04
   0.286407E+00   0.141603E+04
   0.292193E+00   0.137424E+04
   0.298096E+00   0.133731E+04
   0.304118E+00   0.130512E+04
   0.310261E+00   0.127614E+04
   0.316529E+00   0.124873E+04
   0.322923E+00   0.122134E+04
   0.329447E+00   0.119249E+04
   0.336102E+00   0.116234E+04
   0.342892E+00   0.113130E+04
   0.349819E+00   0.110088E+04
   0.356885E+00   0.107208E+04
   0.364095E+00   0.104590E+04
   0.371450E+00   0.102189E+04
   0.378954E+00   0.999757E+03
   0.386609E+00   0.978341E+03
   0.394419E+00   0.956699E+03
   0.402387E+00   0.934779E+03
   0.410516E+00   0.912716E+03
   0.418809E+00   0.891310E+03
   0.427269E+00   0.870970E+03
   0.435901E+00   0.852017E+03
   0.444706E+00   0.834173E+03
   0.453690E+00   0.816940E+03
   0.462855E+00   0.799933E+03
   0.472206E+00   0.782939E+03
   0.481745E+00   0.766255E+03
   0.491477E+00   0.750197E+03
   0.501405E+00   0.734871E+03
   0.511534E+00   0.720217E+03
   0.521868E+00   0.706045E+03
   0.532411E+00   0.692143E+03
   0.543166E+00   0.678456E+03
   0.554139E+00   0.665107E+03
   0.565333E+00   0.652226E+03
   0.576753E+00   0.639802E+03
   0.588404E+00   0.627726E+03
   0.600291E+00   0.615929E+03
   0.612418E+00   0.604374E+03
   0.624789E+00   0.593101E+03
   0.637411E+00   0.582140E+03
   0.650288E+00   0.571459E+03
   0.663424E+00   0.561035E+03
   0.676826E+00   0.550849E+03
   0.690499E+00   0.540883E+03
   0.704448E+00   0.531127E+03
   0.718679E+00   0.521572E+03
   0.733197E+00   0.512211E+03
   0.748009E+00   0.503038E+03
   0.763119E+00   0.494043E+03
   0.778536E+00   0.485214E+03
   0.794263E+00   0.476542E+03
   0.810308E+00   0.468017E+03
   0.826677E+00   0.459632E+03
   0.843378E+00   0.451381E+03
   0.860415E+00   0.443257E+03
   0.877797E+00   0.435255E+03
   0.895529E+00   0.427368E+03
   0.913620E+00   0.419590E+03
   0.932076E+00   0.411915E+03
   0.950906E+00   0.404336E+03
   0.970115E+00   0.396850E+03
   0.989713E+00   0.389454E+03
   0.100971E+01   0.382144E+03
   0.103010E+01   0.374917E+03
   0.105091E+01   0.367769E+03
   0.107214E+01   0.360697E+03
   0.109380E+01   0.353699E+03
   0.111590E+01   0.346770E+03
   0.113844E+01   0.339911E+03
   0.116144E+01   0.333120E+03
   0.118490E+01   0.326397E+03
   0.120884E+01   0.319741E+03
   0.123326E+01   0.313150E+03
   0.125817E+01   0.306623E+03
   0.128359E+01   0.300161E+03
   0.130952E+01   0.293761E+03
   0.133597E+01   0.287425E+03
   0.136296E+01   0.281154E+03
   0.139049E+01   0.274949E+03
   0.141858E+01   0.268810E+03
   0.144724E+01   0.262738E+03
   0.147648E+01   0.256732E+03
   0.150630E+01   0.250795E+03
   0.153673E+01   0.244926E+03
   0.156778E+01   0.239127E+03
   0.159945E+01   0.233400E+03
   0.163176E+01   0.227746E+03
   0.166472E+01   0.222167E+03
   0.169835E+01   0.216662E+03
   0.173266E+01   0.211234E+03
   0.176766E+01   0.205883E+03
   0.180337E+01   0.200610E+03
   0.183980E+01   0.195417E+03
   0.187697E+01   0.190305E+03
   0.191489E+01   0.185275E+03
   0.195357E+01   0.180328E+03
   0.199304E+01   0.175466E+03
   0.203330E+01   0.170687E+03
   0.207437E+01   0.165993E+03
   0.211628E+01   0.161386E+03
   0.215903E+01   0.156864E+03
   0.220265E+01   0.152430E+03
   0.224714E+01   0.148082E+03
   0.229254E+01   0.143822E+03
   0.233885E+01   0.139649E+03
   0.238610E+01   0.135564E+03
   0.243430E+01   0.131565E+03
   0.248348E+01   0.127654E+03
   0.253365E+01   0.123830E+03
   0.258483E+01   0.120092E+03
   0.263705E+01   0.116439E+03
   0.269032E+01   0.112872E+03
   0.274466E+01   0.109390E+03
   0.280011E+01   0.105991E+03
   0.285668E+01   0.102676E+03
   0.291439E+01   0.994430E+02
   0.297326E+01   0.962913E+02
   0.303332E+01   0.932201E+02
   0.309460E+01   0.902283E+02
   0.315712E+01   0.873148E+02
   0.322090E+01   0.844786E+02
   0.328596E+01   0.817186E+02
   0.335234E+01   0.790335E+02
   0.342006E+01   0.764220E+02
