#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    98   0.251839E+04  -0.196734E+02   0.371007E-03  -0.196734E+02   0.743764E+00  -0.116515E-05   0.371007E-03  -0.116515E-05   0.102829E-06
    99   0.254744E+04  -0.203297E+02   0.366663E-03  -0.203297E+02   0.758778E+00  -0.114747E-05   0.366663E-03  -0.114747E-05   0.102196E-06
   100   0.257678E+04  -0.209883E+02   0.362413E-03  -0.209883E+02   0.773665E+00  -0.112698E-05   0.362413E-03  -0.112698E-05   0.101567E-06
   101   0.260640E+04  -0.216487E+02   0.358251E-03  -0.216487E+02   0.788411E+00  -0.110436E-05   0.358251E-03  -0.110436E-05   0.100941E-06
   102   0.263630E+04  -0.223105E+02   0.354173E-03  -0.223105E+02   0.802994E+00  -0.108028E-05   0.354173E-03  -0.108028E-05   0.100318E-06
   103   0.266647E+04  -0.229729E+02   0.350175E-03  -0.229729E+02   0.817413E+00  -0.105541E-05   0.350175E-03  -0.105541E-05   0.996996E-07
   104   0.269691E+04  -0.236356E+02   0.346252E-03  -0.236356E+02   0.831640E+00  -0.103043E-05   0.346252E-03  -0.103043E-05   0.990845E-07
   105   0.272760E+04  -0.242980E+02   0.342401E-03  -0.242980E+02   0.845667E+00  -0.100601E-05   0.342401E-03  -0.100601E-05   0.984730E-07
   106   0.275855E+04  -0.249594E+02   0.338616E-03  -0.249594E+02   0.859480E+00  -0.982834E-06   0.338616E-03  -0.982834E-06   0.978654E-07
   107   0.278975E+04  -0.256193E+02   0.334894E-03  -0.256193E+02   0.873071E+00  -0.961566E-06   0.334894E-03  -0.961566E-06   0.972616E-07
   108   0.282118E+04  -0.262773E+02   0.331230E-03  -0.262773E+02   0.886419E+00  -0.942885E-06   0.331230E-03  -0.942885E-06   0.966617E-07
   109   0.285285E+04  -0.269326E+02   0.327620E-03  -0.269326E+02   0.899515E+00  -0.927465E-06   0.327620E-03  -0.927465E-06   0.960658E-07
   110   0.288474E+04  -0.275847E+02   0.324059E-03  -0.275847E+02   0.912339E+00  -0.915981E-06   0.324059E-03  -0.915981E-06   0.954739E-07
   111   0.291685E+04  -0.282332E+02   0.320544E-03  -0.282332E+02   0.924882E+00  -0.908936E-06   0.320544E-03  -0.908936E-06   0.948861E-07
   112   0.294918E+04  -0.288774E+02   0.317074E-03  -0.288774E+02   0.937137E+00  -0.906152E-06   0.317074E-03  -0.906152E-06   0.943024E-07
   113   0.298171E+04  -0.295167E+02   0.313649E-03  -0.295167E+02   0.949082E+00  -0.907283E-06   0.313649E-03  -0.907283E-06   0.937227E-07
   114   0.301444E+04  -0.301506E+02   0.310270E-03  -0.301506E+02   0.960702E+00  -0.911980E-06   0.310270E-03  -0.911980E-06   0.931471E-07
   115   0.304737E+04  -0.307784E+02   0.306937E-03  -0.307784E+02   0.971996E+00  -0.919895E-06   0.306937E-03  -0.919895E-06   0.925756E-07
   116   0.308048E+04  -0.313997E+02   0.303650E-03  -0.313997E+02   0.982949E+00  -0.930681E-06   0.303650E-03  -0.930681E-06   0.920082E-07
   117   0.311378E+04  -0.320137E+02   0.300409E-03  -0.320137E+02   0.993539E+00  -0.943988E-06   0.300409E-03  -0.943988E-06   0.914448E-07
   118   0.314724E+04  -0.326200E+02   0.297214E-03  -0.326200E+02   0.100377E+01  -0.959469E-06   0.297214E-03  -0.959469E-06   0.908855E-07
   119   0.318086E+04  -0.332180E+02   0.294067E-03  -0.332180E+02   0.101361E+01  -0.976777E-06   0.294067E-03  -0.976777E-06   0.903303E-07
   120   0.321465E+04  -0.338071E+02   0.290966E-03  -0.338071E+02   0.102308E+01  -0.995562E-06   0.290966E-03  -0.995562E-06   0.897792E-07
   121   0.324857E+04  -0.343867E+02   0.287913E-03  -0.343867E+02   0.103214E+01  -0.101548E-05   0.287913E-03  -0.101548E-05   0.892321E-07
   122   0.328264E+04  -0.349563E+02   0.284907E-03  -0.349563E+02   0.104079E+01  -0.103618E-05   0.284907E-03  -0.103618E-05   0.886892E-07
   123   0.331683E+04  -0.355153E+02   0.281949E-03  -0.355153E+02   0.104903E+01  -0.105731E-05   0.281949E-03  -0.105731E-05   0.881503E-07
   124   0.335114E+04  -0.360631E+02   0.279039E-03  -0.360631E+02   0.105683E+01  -0.107853E-05   0.279039E-03  -0.107853E-05   0.876154E-07
   125   0.338556E+04  -0.365992E+02   0.276177E-03  -0.365992E+02   0.106420E+01  -0.109948E-05   0.276177E-03  -0.109948E-05   0.870847E-07
   126   0.342008E+04  -0.371231E+02   0.273363E-03  -0.371231E+02   0.107113E+01  -0.111983E-05   0.273363E-03  -0.111983E-05   0.865580E-07
   127   0.345469E+04  -0.376341E+02   0.270597E-03  -0.376341E+02   0.107761E+01  -0.113922E-05   0.270597E-03  -0.113922E-05   0.860354E-07
   128   0.348938E+04  -0.381318E+02   0.267881E-03  -0.381318E+02   0.108362E+01  -0.115730E-05   0.267881E-03  -0.115730E-05   0.855168E-07
   129   0.352416E+04  -0.386157E+02   0.265213E-03  -0.386157E+02   0.108918E+01  -0.117373E-05   0.265213E-03  -0.117373E-05   0.850023E-07
   130   0.355899E+04  -0.390851E+02   0.262595E-03  -0.390851E+02   0.109426E+01  -0.118816E-05   0.262595E-03  -0.118816E-05   0.844919E-07
   131   0.359388E+04  -0.395395E+02   0.260026E-03  -0.395395E+02   0.109886E+01  -0.120031E-05   0.260026E-03  -0.120031E-05   0.839856E-07
   132   0.362881E+04  -0.399785E+02   0.257505E-03  -0.399785E+02   0.110298E+01  -0.121022E-05   0.257505E-03  -0.121022E-05   0.834833E-07
   133   0.366378E+04  -0.404016E+02   0.255030E-03  -0.404016E+02   0.110661E+01  -0.121798E-05   0.255030E-03  -0.121798E-05   0.829850E-07
   134   0.369879E+04  -0.408081E+02   0.252600E-03  -0.408081E+02   0.110976E+01  -0.122369E-05   0.252600E-03  -0.122369E-05   0.824907E-07
   135   0.373381E+04  -0.411978E+02   0.250214E-03  -0.411978E+02   0.111242E+01  -0.122745E-05   0.250214E-03  -0.122745E-05   0.820004E-07
   136   0.376885E+04  -0.415699E+02   0.247869E-03  -0.415699E+02   0.111458E+01  -0.122938E-05   0.247869E-03  -0.122938E-05   0.815140E-07
