#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2222   0.119600E+03  -0.290111E+01   0.518753E-06  -0.290111E+01   0.674760E+01   0.337900E-07   0.518753E-06   0.337900E-07   0.169944E-08
  2223   0.119142E+03  -0.300347E+01   0.521283E-06  -0.300347E+01   0.675836E+01   0.335486E-07   0.521283E-06   0.335486E-07   0.169805E-08
  2224   0.118692E+03  -0.310657E+01   0.523848E-06  -0.310657E+01   0.676845E+01   0.332957E-07   0.523848E-06   0.332957E-07   0.169667E-08
  2225   0.118252E+03  -0.321034E+01   0.526431E-06  -0.321034E+01   0.677787E+01   0.330319E-07   0.526431E-06   0.330319E-07   0.169529E-08
  2226   0.117820E+03  -0.331475E+01   0.529012E-06  -0.331475E+01   0.678662E+01   0.327581E-07   0.529012E-06   0.327581E-07   0.169391E-08
  2227   0.117397E+03  -0.341974E+01   0.531575E-06  -0.341974E+01   0.679468E+01   0.324750E-07   0.531575E-06   0.324750E-07   0.169254E-08
  2228   0.116984E+03  -0.352527E+01   0.534101E-06  -0.352527E+01   0.680205E+01   0.321835E-07   0.534101E-06   0.321835E-07   0.169116E-08
  2229   0.116578E+03  -0.363128E+01   0.536570E-06  -0.363128E+01   0.680874E+01   0.318842E-07   0.536570E-06   0.318842E-07   0.168979E-08
  2230   0.116182E+03  -0.373772E+01   0.538966E-06  -0.373772E+01   0.681472E+01   0.315779E-07   0.538966E-06   0.315779E-07   0.168841E-08
  2231   0.115796E+03  -0.384454E+01   0.541269E-06  -0.384454E+01   0.682001E+01   0.312654E-07   0.541269E-06   0.312654E-07   0.168704E-08
  2232   0.115418E+03  -0.395171E+01   0.543462E-06  -0.395171E+01   0.682460E+01   0.309475E-07   0.543462E-06   0.309475E-07   0.168568E-08
  2233   0.115048E+03  -0.405916E+01   0.545526E-06  -0.405916E+01   0.682849E+01   0.306250E-07   0.545526E-06   0.306250E-07   0.168431E-08
  2234   0.114688E+03  -0.416685E+01   0.547443E-06  -0.416685E+01   0.683168E+01   0.302986E-07   0.547443E-06   0.302986E-07   0.168294E-08
  2235   0.114336E+03  -0.427471E+01   0.549195E-06  -0.427471E+01   0.683417E+01   0.299690E-07   0.549195E-06   0.299690E-07   0.168158E-08
  2236   0.113994E+03  -0.438271E+01   0.550763E-06  -0.438271E+01   0.683597E+01   0.296371E-07   0.550763E-06   0.296371E-07   0.168021E-08
  2237   0.113660E+03  -0.449081E+01   0.552129E-06  -0.449081E+01   0.683707E+01   0.293035E-07   0.552129E-06   0.293035E-07   0.167885E-08
  2238   0.113334E+03  -0.459893E+01   0.553275E-06  -0.459893E+01   0.683747E+01   0.289692E-07   0.553275E-06   0.289692E-07   0.167749E-08
  2239   0.113017E+03  -0.470705E+01   0.554183E-06  -0.470705E+01   0.683716E+01   0.286348E-07   0.554183E-06   0.286348E-07   0.167614E-08
  2240   0.112710E+03  -0.481512E+01   0.554833E-06  -0.481512E+01   0.683616E+01   0.283011E-07   0.554833E-06   0.283011E-07   0.167478E-08
  2241   0.112410E+03  -0.492308E+01   0.555209E-06  -0.492308E+01   0.683444E+01   0.279689E-07   0.555209E-06   0.279689E-07   0.167343E-08
  2242   0.112119E+03  -0.503090E+01   0.555292E-06  -0.503090E+01   0.683202E+01   0.276389E-07   0.555292E-06   0.276389E-07   0.167207E-08
  2243   0.111837E+03  -0.513851E+01   0.555063E-06  -0.513851E+01   0.682891E+01   0.273120E-07   0.555063E-06   0.273120E-07   0.167072E-08
  2244   0.111563E+03  -0.524589E+01   0.554504E-06  -0.524589E+01   0.682507E+01   0.269888E-07   0.554504E-06   0.269888E-07   0.166937E-08
  2245   0.111297E+03  -0.535298E+01   0.553597E-06  -0.535298E+01   0.682053E+01   0.266702E-07   0.553597E-06   0.266702E-07   0.166802E-08
  2246   0.111040E+03  -0.545975E+01   0.552323E-06  -0.545975E+01   0.681529E+01   0.263569E-07   0.552323E-06   0.263569E-07   0.166668E-08
  2247   0.110790E+03  -0.556613E+01   0.550665E-06  -0.556613E+01   0.680935E+01   0.260497E-07   0.550665E-06   0.260497E-07   0.166533E-08
  2248   0.110549E+03  -0.567209E+01   0.548604E-06  -0.567209E+01   0.680270E+01   0.257493E-07   0.548604E-06   0.257493E-07   0.166399E-08
  2249   0.110316E+03  -0.577760E+01   0.546122E-06  -0.577760E+01   0.679536E+01   0.254566E-07   0.546122E-06   0.254566E-07   0.166264E-08
  2250   0.110091E+03  -0.588258E+01   0.543200E-06  -0.588258E+01   0.678732E+01   0.251722E-07   0.543200E-06   0.251722E-07   0.166130E-08
  2251   0.109874E+03  -0.598702E+01   0.539827E-06  -0.598702E+01   0.677859E+01   0.248969E-07   0.539827E-06   0.248969E-07   0.165996E-08
  2252   0.109665E+03  -0.609086E+01   0.536014E-06  -0.609086E+01   0.676915E+01   0.246305E-07   0.536014E-06   0.246305E-07   0.165863E-08
  2253   0.109463E+03  -0.619405E+01   0.531780E-06  -0.619405E+01   0.675903E+01   0.243729E-07   0.531780E-06   0.243729E-07   0.165729E-08
  2254   0.109270E+03  -0.629658E+01   0.527143E-06  -0.629658E+01   0.674823E+01   0.241239E-07   0.527143E-06   0.241239E-07   0.165596E-08
  2255   0.109083E+03  -0.639838E+01   0.522122E-06  -0.639838E+01   0.673673E+01   0.238834E-07   0.522122E-06   0.238834E-07   0.165462E-08
  2256   0.108904E+03  -0.649943E+01   0.516736E-06  -0.649943E+01   0.672454E+01   0.236510E-07   0.516736E-06   0.236510E-07   0.165329E-08
  2257   0.108733E+03  -0.659967E+01   0.511001E-06  -0.659967E+01   0.671167E+01   0.234268E-07   0.511001E-06   0.234268E-07   0.165196E-08
  2258   0.108569E+03  -0.669908E+01   0.504938E-06  -0.669908E+01   0.669812E+01   0.232104E-07   0.504938E-06   0.232104E-07   0.165063E-08
  2259   0.108411E+03  -0.679761E+01   0.498563E-06  -0.679761E+01   0.668389E+01   0.230017E-07   0.498563E-06   0.230017E-07   0.164931E-08
  2260   0.108262E+03  -0.689522E+01   0.491897E-06  -0.689522E+01   0.666899E+01   0.228005E-07   0.491897E-06   0.228005E-07   0.164798E-08
  2261   0.108119E+03  -0.699188E+01   0.484956E-06  -0.699188E+01   0.665342E+01   0.226067E-07   0.484956E-06   0.226067E-07   0.164666E-08
  2262   0.107984E+03  -0.708756E+01   0.477759E-06  -0.708756E+01   0.663721E+01   0.224200E-07   0.477759E-06   0.224200E-07   0.164534E-08
  2263   0.107854E+03  -0.718220E+01   0.470325E-06  -0.718220E+01   0.662036E+01   0.222402E-07   0.470325E-06   0.222402E-07   0.164402E-08
  2264   0.107732E+03  -0.727578E+01   0.462672E-06  -0.727578E+01   0.660286E+01   0.220673E-07   0.462672E-06   0.220673E-07   0.164270E-08
  2265   0.107616E+03  -0.736826E+01   0.454819E-06  -0.736826E+01   0.658474E+01   0.219009E-07   0.454819E-06   0.219009E-07   0.164138E-08
  2266   0.107507E+03  -0.745964E+01   0.446783E-06  -0.745964E+01   0.656598E+01   0.217409E-07   0.446783E-06   0.217409E-07   0.164006E-08
  2267   0.107404E+03  -0.754980E+01   0.438583E-06  -0.754980E+01   0.654662E+01   0.215872E-07   0.438583E-06   0.215872E-07   0.163875E-08
  2268   0.107308E+03  -0.763877E+01   0.430238E-06  -0.763877E+01   0.652664E+01   0.214395E-07   0.430238E-06   0.214395E-07   0.163744E-08
  2269   0.107217E+03  -0.772649E+01   0.421766E-06  -0.772649E+01   0.650606E+01   0.212977E-07   0.421766E-06   0.212977E-07   0.163612E-08
  2270   0.107133E+03  -0.781302E+01   0.413185E-06  -0.781302E+01   0.648488E+01   0.211616E-07   0.413185E-06   0.211616E-07   0.163481E-08
  2271   0.107055E+03  -0.789822E+01   0.404514E-06  -0.789822E+01   0.646311E+01   0.210310E-07   0.404514E-06   0.210310E-07   0.163351E-08
  2272   0.106982E+03  -0.798208E+01   0.395771E-06  -0.798208E+01   0.644074E+01   0.209057E-07   0.395771E-06   0.209057E-07   0.163220E-08
  2273   0.106916E+03  -0.806461E+01   0.386974E-06  -0.806461E+01   0.641780E+01   0.207855E-07   0.386974E-06   0.207855E-07   0.163089E-08
  2274   0.106855E+03  -0.814573E+01   0.378141E-06  -0.814573E+01   0.639429E+01   0.206703E-07   0.378141E-06   0.206703E-07   0.162959E-08
  2275   0.106799E+03  -0.822544E+01   0.369292E-06  -0.822544E+01   0.637022E+01   0.205599E-07   0.369292E-06   0.205599E-07   0.162829E-08
  2276   0.106749E+03  -0.830375E+01   0.360445E-06  -0.830375E+01   0.634560E+01   0.204540E-07   0.360445E-06   0.204540E-07   0.162698E-08
  2277   0.106703E+03  -0.838057E+01   0.351617E-06  -0.838057E+01   0.632044E+01   0.203526E-07   0.351617E-06   0.203526E-07   0.162569E-08
  2278   0.106663E+03  -0.845591E+01   0.342827E-06  -0.845591E+01   0.629475E+01   0.202554E-07   0.342827E-06   0.202554E-07   0.162439E-08
  2279   0.106628E+03  -0.852977E+01   0.334094E-06  -0.852977E+01   0.626854E+01   0.201622E-07   0.334094E-06   0.201622E-07   0.162309E-08
  2280   0.106598E+03  -0.860207E+01   0.325436E-06  -0.860207E+01   0.624181E+01   0.200728E-07   0.325436E-06   0.200728E-07   0.162180E-08
  2281   0.106572E+03  -0.867274E+01   0.316872E-06  -0.867274E+01   0.621457E+01   0.199872E-07   0.316872E-06   0.199872E-07   0.162050E-08
  2282   0.106551E+03  -0.874185E+01   0.308418E-06  -0.874185E+01   0.618684E+01   0.199050E-07   0.308418E-06   0.199050E-07   0.161921E-08
  2283   0.106534E+03  -0.880941E+01   0.300096E-06  -0.880941E+01   0.615862E+01   0.198262E-07   0.300096E-06   0.198262E-07   0.161792E-08
  2284   0.106522E+03  -0.887526E+01   0.291921E-06  -0.887526E+01   0.612991E+01   0.197504E-07   0.291921E-06   0.197504E-07   0.161663E-08
  2285   0.106514E+03  -0.893948E+01   0.283913E-06  -0.893948E+01   0.610073E+01   0.196777E-07   0.283913E-06   0.196777E-07   0.161534E-08
  2286   0.106510E+03  -0.900199E+01   0.276091E-06  -0.900199E+01   0.607109E+01   0.196076E-07   0.276091E-06   0.196076E-07   0.161406E-08
  2287   0.106510E+03  -0.906287E+01   0.268472E-06  -0.906287E+01   0.604100E+01   0.195402E-07   0.268472E-06   0.195402E-07   0.161277E-08
  2288   0.106514E+03  -0.912197E+01   0.261075E-06  -0.912197E+01   0.601046E+01   0.194751E-07   0.261075E-06   0.194751E-07   0.161149E-08
  2289   0.106521E+03  -0.917936E+01   0.253918E-06  -0.917936E+01   0.597950E+01   0.194123E-07   0.253918E-06   0.194123E-07   0.161020E-08
  2290   0.106532E+03  -0.923497E+01   0.247020E-06  -0.923497E+01   0.594812E+01   0.193515E-07   0.247020E-06   0.193515E-07   0.160892E-08
  2291   0.106547E+03  -0.928888E+01   0.240399E-06  -0.928888E+01   0.591634E+01   0.192925E-07   0.240399E-06   0.192925E-07   0.160765E-08
  2292   0.106564E+03  -0.934101E+01   0.234073E-06  -0.934101E+01   0.588416E+01   0.192352E-07   0.234073E-06   0.192352E-07   0.160637E-08
  2293   0.106585E+03  -0.939128E+01   0.228061E-06  -0.939128E+01   0.585161E+01   0.191794E-07   0.228061E-06   0.191794E-07   0.160509E-08
  2294   0.106609E+03  -0.943984E+01   0.222381E-06  -0.943984E+01   0.581869E+01   0.191249E-07   0.222381E-06   0.191249E-07   0.160382E-08
  2295   0.106636E+03  -0.948648E+01   0.217052E-06  -0.948648E+01   0.578540E+01   0.190715E-07   0.217052E-06   0.190715E-07   0.160254E-08
  2296   0.106665E+03  -0.953133E+01   0.212092E-06  -0.953133E+01   0.575177E+01   0.190190E-07   0.212092E-06   0.190190E-07   0.160127E-08
  2297   0.106697E+03  -0.957433E+01   0.207519E-06  -0.957433E+01   0.571780E+01   0.189673E-07   0.207519E-06   0.189673E-07   0.160000E-08
  2298   0.106732E+03  -0.961555E+01   0.203351E-06  -0.961555E+01   0.568351E+01   0.189162E-07   0.203351E-06   0.189162E-07   0.159873E-08
  2299   0.106769E+03  -0.965484E+01   0.199608E-06  -0.965484E+01   0.564889E+01   0.188654E-07   0.199608E-06   0.188654E-07   0.159746E-08
  2300   0.106808E+03  -0.969220E+01   0.196306E-06  -0.969220E+01   0.561397E+01   0.188149E-07   0.196306E-06   0.188149E-07   0.159620E-08
  2301   0.106849E+03  -0.972778E+01   0.193461E-06  -0.972778E+01   0.557874E+01   0.187643E-07   0.193461E-06   0.187643E-07   0.159493E-08
  2302   0.106893E+03  -0.976135E+01   0.191068E-06  -0.976135E+01   0.554323E+01   0.187137E-07   0.191068E-06   0.187137E-07   0.159367E-08
  2303   0.106937E+03  -0.979314E+01   0.189116E-06  -0.979314E+01   0.550745E+01   0.186628E-07   0.189116E-06   0.186628E-07   0.159241E-08
  2304   0.106984E+03  -0.982293E+01   0.187596E-06  -0.982293E+01   0.547140E+01   0.186115E-07   0.187596E-06   0.186115E-07   0.159115E-08
  2305   0.107032E+03  -0.985086E+01   0.186500E-06  -0.985086E+01   0.543511E+01   0.185598E-07   0.186500E-06   0.185598E-07   0.158989E-08
  2306   0.107081E+03  -0.987687E+01   0.185817E-06  -0.987687E+01   0.539857E+01   0.185073E-07   0.185817E-06   0.185073E-07   0.158863E-08
  2307   0.107132E+03  -0.990094E+01   0.185538E-06  -0.990094E+01   0.536181E+01   0.184541E-07   0.185538E-06   0.184541E-07   0.158737E-08
  2308   0.107184E+03  -0.992308E+01   0.185655E-06  -0.992308E+01   0.532483E+01   0.184000E-07   0.185655E-06   0.184000E-07   0.158612E-08
  2309   0.107236E+03  -0.994329E+01   0.186156E-06  -0.994329E+01   0.528764E+01   0.183448E-07   0.186156E-06   0.183448E-07   0.158486E-08
  2310   0.107290E+03  -0.996165E+01   0.187033E-06  -0.996165E+01   0.525027E+01   0.182885E-07   0.187033E-06   0.182885E-07   0.158361E-08
  2311   0.107345E+03  -0.997808E+01   0.188277E-06  -0.997808E+01   0.521271E+01   0.182308E-07   0.188277E-06   0.182308E-07   0.158236E-08
  2312   0.107400E+03  -0.999250E+01   0.189878E-06  -0.999250E+01   0.517499E+01   0.181717E-07   0.189878E-06   0.181717E-07   0.158111E-08
  2313   0.107455E+03  -0.100051E+02   0.191827E-06  -0.100051E+02   0.513710E+01   0.181110E-07   0.191827E-06   0.181110E-07   0.157986E-08
  2314   0.107512E+03  -0.100158E+02   0.194113E-06  -0.100158E+02   0.509908E+01   0.180486E-07   0.194113E-06   0.180486E-07   0.157862E-08
  2315   0.107568E+03  -0.100245E+02   0.196729E-06  -0.100245E+02   0.506092E+01   0.179844E-07   0.196729E-06   0.179844E-07   0.157737E-08
  2316   0.107625E+03  -0.100313E+02   0.199664E-06  -0.100313E+02   0.502264E+01   0.179181E-07   0.199664E-06   0.179181E-07   0.157613E-08
  2317   0.107681E+03  -0.100362E+02   0.202908E-06  -0.100362E+02   0.498425E+01   0.178498E-07   0.202908E-06   0.178498E-07   0.157489E-08
  2318   0.107737E+03  -0.100392E+02   0.206454E-06  -0.100392E+02   0.494576E+01   0.177792E-07   0.206454E-06   0.177792E-07   0.157365E-08
  2319   0.107793E+03  -0.100404E+02   0.210290E-06  -0.100404E+02   0.490718E+01   0.177062E-07   0.210290E-06   0.177062E-07   0.157241E-08
  2320   0.107849E+03  -0.100396E+02   0.214408E-06  -0.100396E+02   0.486852E+01   0.176307E-07   0.214408E-06   0.176307E-07   0.157117E-08
  2321   0.107904E+03  -0.100370E+02   0.218798E-06  -0.100370E+02   0.482980E+01   0.175526E-07   0.218798E-06   0.175526E-07   0.156993E-08
  2322   0.107958E+03  -0.100325E+02   0.223451E-06  -0.100325E+02   0.479103E+01   0.174717E-07   0.223451E-06   0.174717E-07   0.156870E-08
  2323   0.108012E+03  -0.100261E+02   0.228358E-06  -0.100261E+02   0.475222E+01   0.173878E-07   0.228358E-06   0.173878E-07   0.156746E-08
  2324   0.108065E+03  -0.100178E+02   0.233508E-06  -0.100178E+02   0.471339E+01   0.173010E-07   0.233508E-06   0.173010E-07   0.156623E-08
  2325   0.108117E+03  -0.100078E+02   0.238893E-06  -0.100078E+02   0.467454E+01   0.172109E-07   0.238893E-06   0.172109E-07   0.156500E-08
  2326   0.108168E+03  -0.999597E+01   0.244503E-06  -0.999597E+01   0.463569E+01   0.171175E-07   0.244503E-06   0.171175E-07   0.156377E-08
  2327   0.108218E+03  -0.998224E+01   0.250328E-06  -0.998224E+01   0.459686E+01   0.170207E-07   0.250328E-06   0.170207E-07   0.156254E-08
  2328   0.108266E+03  -0.996681E+01   0.256360E-06  -0.996681E+01   0.455806E+01   0.169203E-07   0.256360E-06   0.169203E-07   0.156131E-08
  2329   0.108314E+03  -0.994959E+01   0.262589E-06  -0.994959E+01   0.451929E+01   0.168162E-07   0.262589E-06   0.168162E-07   0.156009E-08
  2330   0.108359E+03  -0.993059E+01   0.269005E-06  -0.993059E+01   0.448057E+01   0.167082E-07   0.269005E-06   0.167082E-07   0.155886E-08
  2331   0.108404E+03  -0.990988E+01   0.275599E-06  -0.990988E+01   0.444191E+01   0.165962E-07   0.275599E-06   0.165962E-07   0.155764E-08
  2332   0.108446E+03  -0.988739E+01   0.282361E-06  -0.988739E+01   0.440333E+01   0.164802E-07   0.282361E-06   0.164802E-07   0.155642E-08
  2333   0.108487E+03  -0.986319E+01   0.289283E-06  -0.986319E+01   0.436482E+01   0.163598E-07   0.289283E-06   0.163598E-07   0.155520E-08
  2334   0.108526E+03  -0.983728E+01   0.296355E-06  -0.983728E+01   0.432640E+01   0.162351E-07   0.296355E-06   0.162351E-07   0.155398E-08
  2335   0.108563E+03  -0.980966E+01   0.303566E-06  -0.980966E+01   0.428809E+01   0.161059E-07   0.303566E-06   0.161059E-07   0.155276E-08
  2336   0.108597E+03  -0.978040E+01   0.310909E-06  -0.978040E+01   0.424988E+01   0.159720E-07   0.310909E-06   0.159720E-07   0.155154E-08
  2337   0.108630E+03  -0.974951E+01   0.318373E-06  -0.974951E+01   0.421181E+01   0.158334E-07   0.318373E-06   0.158334E-07   0.155033E-08
  2338   0.108660E+03  -0.971692E+01   0.325948E-06  -0.971692E+01   0.417386E+01   0.156898E-07   0.325948E-06   0.156898E-07   0.154912E-08
  2339   0.108688E+03  -0.968276E+01   0.333627E-06  -0.968276E+01   0.413606E+01   0.155412E-07   0.333627E-06   0.155412E-07   0.154790E-08
  2340   0.108714E+03  -0.964704E+01   0.341399E-06  -0.964704E+01   0.409842E+01   0.153874E-07   0.341399E-06   0.153874E-07   0.154669E-08
  2341   0.108737E+03  -0.960968E+01   0.349254E-06  -0.960968E+01   0.406094E+01   0.152283E-07   0.349254E-06   0.152283E-07   0.154548E-08
  2342   0.108757E+03  -0.957077E+01   0.357184E-06  -0.957077E+01   0.402365E+01   0.150637E-07   0.357184E-06   0.150637E-07   0.154428E-08
  2343   0.108775E+03  -0.953036E+01   0.365178E-06  -0.953036E+01   0.398654E+01   0.148936E-07   0.365178E-06   0.148936E-07   0.154307E-08
  2344   0.108789E+03  -0.948847E+01   0.373228E-06  -0.948847E+01   0.394963E+01   0.147177E-07   0.373228E-06   0.147177E-07   0.154186E-08
  2345   0.108801E+03  -0.944502E+01   0.381324E-06  -0.944502E+01   0.391294E+01   0.145360E-07   0.381324E-06   0.145360E-07   0.154066E-08
  2346   0.108810E+03  -0.940016E+01   0.389456E-06  -0.940016E+01   0.387645E+01   0.143483E-07   0.389456E-06   0.143483E-07   0.153946E-08
  2347   0.108816E+03  -0.935381E+01   0.397616E-06  -0.935381E+01   0.384019E+01   0.141545E-07   0.397616E-06   0.141545E-07   0.153826E-08
  2348   0.108819E+03  -0.930605E+01   0.405794E-06  -0.930605E+01   0.380416E+01   0.139544E-07   0.405794E-06   0.139544E-07   0.153706E-08
  2349   0.108818E+03  -0.925687E+01   0.413979E-06  -0.925687E+01   0.376838E+01   0.137480E-07   0.413979E-06   0.137480E-07   0.153586E-08
  2350   0.108814E+03  -0.920636E+01   0.422164E-06  -0.920636E+01   0.373286E+01   0.135350E-07   0.422164E-06   0.135350E-07   0.153466E-08
  2351   0.108807E+03  -0.915443E+01   0.430337E-06  -0.915443E+01   0.369759E+01   0.133155E-07   0.430337E-06   0.133155E-07   0.153346E-08
  2352   0.108796E+03  -0.910124E+01   0.438485E-06  -0.910124E+01   0.366260E+01   0.130900E-07   0.438485E-06   0.130900E-07   0.153227E-08
  2353   0.108782E+03  -0.904671E+01   0.446593E-06  -0.904671E+01   0.362789E+01   0.128590E-07   0.446593E-06   0.128590E-07   0.153108E-08
  2354   0.108764E+03  -0.899099E+01   0.454645E-06  -0.899099E+01   0.359348E+01   0.126233E-07   0.454645E-06   0.126233E-07   0.152988E-08
  2355   0.108743E+03  -0.893393E+01   0.462628E-06  -0.893393E+01   0.355936E+01   0.123833E-07   0.462628E-06   0.123833E-07   0.152869E-08
  2356   0.108718E+03  -0.887568E+01   0.470527E-06  -0.887568E+01   0.352555E+01   0.121397E-07   0.470527E-06   0.121397E-07   0.152750E-08
  2357   0.108689E+03  -0.881631E+01   0.478326E-06  -0.881631E+01   0.349207E+01   0.118932E-07   0.478326E-06   0.118932E-07   0.152632E-08
  2358   0.108657E+03  -0.875575E+01   0.486011E-06  -0.875575E+01   0.345891E+01   0.116443E-07   0.486011E-06   0.116443E-07   0.152513E-08
  2359   0.108621E+03  -0.869408E+01   0.493567E-06  -0.869408E+01   0.342608E+01   0.113937E-07   0.493567E-06   0.113937E-07   0.152394E-08
  2360   0.108581E+03  -0.863122E+01   0.500979E-06  -0.863122E+01   0.339360E+01   0.111419E-07   0.500979E-06   0.111419E-07   0.152276E-08
  2361   0.108537E+03  -0.856739E+01   0.508233E-06  -0.856739E+01   0.336145E+01   0.108896E-07   0.508233E-06   0.108896E-07   0.152158E-08
  2362   0.108488E+03  -0.850244E+01   0.515314E-06  -0.850244E+01   0.332967E+01   0.106374E-07   0.515314E-06   0.106374E-07   0.152040E-08
  2363   0.108436E+03  -0.843653E+01   0.522206E-06  -0.843653E+01   0.329824E+01   0.103859E-07   0.522206E-06   0.103859E-07   0.151922E-08
  2364   0.108380E+03  -0.836957E+01   0.528895E-06  -0.836957E+01   0.326718E+01   0.101357E-07   0.528895E-06   0.101357E-07   0.151804E-08
  2365   0.108320E+03  -0.830172E+01   0.535367E-06  -0.830172E+01   0.323650E+01   0.988746E-08   0.535367E-06   0.988746E-08   0.151686E-08
  2366   0.108256E+03  -0.823291E+01   0.541606E-06  -0.823291E+01   0.320620E+01   0.964174E-08   0.541606E-06   0.964174E-08   0.151568E-08
  2367   0.108187E+03  -0.816320E+01   0.547598E-06  -0.816320E+01   0.317629E+01   0.939917E-08   0.547598E-06   0.939917E-08   0.151451E-08
  2368   0.108114E+03  -0.809259E+01   0.553327E-06  -0.809259E+01   0.314677E+01   0.916038E-08   0.553327E-06   0.916038E-08   0.151333E-08
  2369   0.108038E+03  -0.802124E+01   0.558780E-06  -0.802124E+01   0.311765E+01   0.892596E-08   0.558780E-06   0.892596E-08   0.151216E-08
  2370   0.107956E+03  -0.794900E+01   0.563941E-06  -0.794900E+01   0.308895E+01   0.869653E-08   0.563941E-06   0.869653E-08   0.151099E-08
  2371   0.107871E+03  -0.787601E+01   0.568795E-06  -0.787601E+01   0.306065E+01   0.847271E-08   0.568795E-06   0.847271E-08   0.150982E-08
  2372   0.107781E+03  -0.780228E+01   0.573328E-06  -0.780228E+01   0.303278E+01   0.825510E-08   0.573328E-06   0.825510E-08   0.150865E-08
  2373   0.107687E+03  -0.772788E+01   0.577525E-06  -0.772788E+01   0.300533E+01   0.804433E-08   0.577525E-06   0.804433E-08   0.150749E-08
  2374   0.107588E+03  -0.765280E+01   0.581371E-06  -0.765280E+01   0.297831E+01   0.784100E-08   0.581371E-06   0.784100E-08   0.150632E-08
  2375   0.107486E+03  -0.757706E+01   0.584851E-06  -0.757706E+01   0.295172E+01   0.764572E-08   0.584851E-06   0.764572E-08   0.150516E-08
  2376   0.107379E+03  -0.750071E+01   0.587951E-06  -0.750071E+01   0.292558E+01   0.745911E-08   0.587951E-06   0.745911E-08   0.150399E-08
  2377   0.107267E+03  -0.742377E+01   0.590655E-06  -0.742377E+01   0.289988E+01   0.728179E-08   0.590655E-06   0.728179E-08   0.150283E-08
  2378   0.107151E+03  -0.734628E+01   0.592949E-06  -0.734628E+01   0.287462E+01   0.711436E-08   0.592949E-06   0.711436E-08   0.150167E-08
  2379   0.107031E+03  -0.726828E+01   0.594818E-06  -0.726828E+01   0.284982E+01   0.695743E-08   0.594818E-06   0.695743E-08   0.150051E-08
  2380   0.106907E+03  -0.718981E+01   0.596248E-06  -0.718981E+01   0.282548E+01   0.681163E-08   0.596248E-06   0.681163E-08   0.149935E-08
  2381   0.106778E+03  -0.711088E+01   0.597223E-06  -0.711088E+01   0.280159E+01   0.667756E-08   0.597223E-06   0.667756E-08   0.149820E-08
  2382   0.106645E+03  -0.703152E+01   0.597728E-06  -0.703152E+01   0.277817E+01   0.655583E-08   0.597728E-06   0.655583E-08   0.149704E-08
  2383   0.106507E+03  -0.695177E+01   0.597750E-06  -0.695177E+01   0.275522E+01   0.644706E-08   0.597750E-06   0.644706E-08   0.149589E-08
  2384   0.106364E+03  -0.687166E+01   0.597272E-06  -0.687166E+01   0.273274E+01   0.635186E-08   0.597272E-06   0.635186E-08   0.149473E-08
  2385   0.106218E+03  -0.679121E+01   0.596281E-06  -0.679121E+01   0.271073E+01   0.627085E-08   0.596281E-06   0.627085E-08   0.149358E-08
  2386   0.106067E+03  -0.671047E+01   0.594761E-06  -0.671047E+01   0.268920E+01   0.620463E-08   0.594761E-06   0.620463E-08   0.149243E-08
  2387   0.105911E+03  -0.662947E+01   0.592698E-06  -0.662947E+01   0.266815E+01   0.615382E-08   0.592698E-06   0.615382E-08   0.149128E-08
  2388   0.105751E+03  -0.654825E+01   0.590076E-06  -0.654825E+01   0.264758E+01   0.611903E-08   0.590076E-06   0.611903E-08   0.149013E-08
  2389   0.105588E+03  -0.646683E+01   0.586882E-06  -0.646683E+01   0.262750E+01   0.610088E-08   0.586882E-06   0.610088E-08   0.148899E-08
  2390   0.105418E+03  -0.638524E+01   0.583100E-06  -0.638524E+01   0.260791E+01   0.609997E-08   0.583100E-06   0.609997E-08   0.148784E-08
  2391   0.105246E+03  -0.630353E+01   0.578715E-06  -0.630353E+01   0.258880E+01   0.611693E-08   0.578715E-06   0.611693E-08   0.148670E-08
  2392   0.105069E+03  -0.622173E+01   0.573713E-06  -0.622173E+01   0.257019E+01   0.615235E-08   0.573713E-06   0.615235E-08   0.148556E-08
  2393   0.104887E+03  -0.613986E+01   0.568079E-06  -0.613986E+01   0.255208E+01   0.620687E-08   0.568079E-06   0.620687E-08   0.148441E-08
  2394   0.104702E+03  -0.605795E+01   0.561798E-06  -0.605795E+01   0.253446E+01   0.628108E-08   0.561798E-06   0.628108E-08   0.148327E-08
  2395   0.104512E+03  -0.597604E+01   0.554855E-06  -0.597604E+01   0.251734E+01   0.637560E-08   0.554855E-06   0.637560E-08   0.148214E-08
  2396   0.104318E+03  -0.589415E+01   0.547236E-06  -0.589415E+01   0.250070E+01   0.649105E-08   0.547236E-06   0.649105E-08   0.148100E-08
  2397   0.104120E+03  -0.581231E+01   0.538925E-06  -0.581231E+01   0.248458E+01   0.662803E-08   0.538925E-06   0.662803E-08   0.147986E-08
  2398   0.103918E+03  -0.573056E+01   0.529909E-06  -0.573056E+01   0.246895E+01   0.678716E-08   0.529909E-06   0.678716E-08   0.147873E-08
  2399   0.103712E+03  -0.564892E+01   0.520171E-06  -0.564892E+01   0.245382E+01   0.696906E-08   0.520171E-06   0.696906E-08   0.147759E-08
