#    L    TT             EE             BB             TE          
   282   0.281619E+01   0.225420E-01   0.124388E-01  -0.816140E-01
   283   0.272981E+01   0.226160E-01   0.123574E-01  -0.781346E-01
   284   0.264517E+01   0.226832E-01   0.122744E-01  -0.745972E-01
   285   0.256237E+01   0.227432E-01   0.121898E-01  -0.710088E-01
   286   0.248151E+01   0.227960E-01   0.121037E-01  -0.673765E-01
   287   0.240269E+01   0.228411E-01   0.120162E-01  -0.637071E-01
   288   0.232599E+01   0.228785E-01   0.119275E-01  -0.600077E-01
   289   0.225153E+01   0.229078E-01   0.118374E-01  -0.562852E-01
   290   0.217940E+01   0.229288E-01   0.117463E-01  -0.525466E-01
   291   0.210969E+01   0.229412E-01   0.116541E-01  -0.487989E-01
   292   0.204250E+01   0.229449E-01   0.115609E-01  -0.450490E-01
   293   0.197794E+01   0.229396E-01   0.114668E-01  -0.413039E-01
   294   0.191609E+01   0.229251E-01   0.113720E-01  -0.375706E-01
   295   0.185706E+01   0.229010E-01   0.112764E-01  -0.338561E-01
   296   0.180095E+01   0.228672E-01   0.111802E-01  -0.301672E-01
   297   0.174784E+01   0.228235E-01   0.110835E-01  -0.265111E-01
   298   0.169785E+01   0.227695E-01   0.109863E-01  -0.228946E-01
   299   0.165106E+01   0.227051E-01   0.108887E-01  -0.193247E-01
   300   0.160758E+01   0.226299E-01   0.107909E-01  -0.158084E-01
   301   0.156747E+01   0.225440E-01   0.106929E-01  -0.123517E-01
   302   0.153067E+01   0.224474E-01   0.105947E-01  -0.895636E-02
   303   0.149709E+01   0.223406E-01   0.104964E-01  -0.562313E-02
   304   0.146665E+01   0.222239E-01   0.103981E-01  -0.235283E-02
   305   0.143925E+01   0.220976E-01   0.102998E-01   0.853773E-03
   306   0.141481E+01   0.219622E-01   0.102017E-01   0.399588E-02
   307   0.139323E+01   0.218178E-01   0.101036E-01   0.707272E-02
   308   0.137442E+01   0.216650E-01   0.100058E-01   0.100835E-01
   309   0.135830E+01   0.215039E-01   0.990818E-02   0.130274E-01
   310   0.134478E+01   0.213351E-01   0.981090E-02   0.159037E-01
   311   0.133376E+01   0.211587E-01   0.971399E-02   0.187116E-01
   312   0.132516E+01   0.209752E-01   0.961751E-02   0.214503E-01
   313   0.131889E+01   0.207850E-01   0.952150E-02   0.241190E-01
   314   0.131486E+01   0.205883E-01   0.942603E-02   0.267170E-01
   315   0.131297E+01   0.203854E-01   0.933116E-02   0.292434E-01
   316   0.131314E+01   0.201769E-01   0.923693E-02   0.316975E-01
   317   0.131528E+01   0.199629E-01   0.914341E-02   0.340785E-01
   318   0.131930E+01   0.197438E-01   0.905065E-02   0.363855E-01
   319   0.132511E+01   0.195200E-01   0.895872E-02   0.386179E-01
   320   0.133262E+01   0.192919E-01   0.886766E-02   0.407748E-01
   321   0.134174E+01   0.190597E-01   0.877753E-02   0.428555E-01
   322   0.135238E+01   0.188238E-01   0.868839E-02   0.448591E-01
   323   0.136446E+01   0.185846E-01   0.860029E-02   0.467850E-01
   324   0.137787E+01   0.183424E-01   0.851330E-02   0.486322E-01
   325   0.139254E+01   0.180976E-01   0.842746E-02   0.504000E-01
   326   0.140837E+01   0.178505E-01   0.834285E-02   0.520877E-01
   327   0.142527E+01   0.176013E-01   0.825950E-02   0.536944E-01
   328   0.144315E+01   0.173506E-01   0.817748E-02   0.552193E-01
   329   0.146193E+01   0.170986E-01   0.809684E-02   0.566618E-01
   330   0.148152E+01   0.168457E-01   0.801765E-02   0.580209E-01
   331   0.150181E+01   0.165923E-01   0.793995E-02   0.592959E-01
   332   0.152274E+01   0.163385E-01   0.786380E-02   0.604861E-01
   333   0.154419E+01   0.160850E-01   0.778927E-02   0.615906E-01
   334   0.156610E+01   0.158318E-01   0.771640E-02   0.626087E-01
   335   0.158836E+01   0.155795E-01   0.764526E-02   0.635395E-01
   336   0.161089E+01   0.153283E-01   0.757590E-02   0.643824E-01
   337   0.163359E+01   0.150786E-01   0.750837E-02   0.651364E-01
   338   0.165638E+01   0.148308E-01   0.744273E-02   0.658009E-01
   339   0.167917E+01   0.145851E-01   0.737905E-02   0.663750E-01
   340   0.170187E+01   0.143420E-01   0.731737E-02   0.668579E-01
   341   0.172439E+01   0.141017E-01   0.725775E-02   0.672489E-01
   342   0.174663E+01   0.138647E-01   0.720025E-02   0.675472E-01
   343   0.176852E+01   0.136313E-01   0.714493E-02   0.677520E-01
   344   0.178995E+01   0.134017E-01   0.709183E-02   0.678626E-01
