#    L    TT             EE             BB             TE          
   188   0.874782E+04   0.589920E+01   0.256021E+02   0.473877E+02
   189   0.873610E+04   0.593240E+01   0.257736E+02   0.474459E+02
   190   0.872443E+04   0.596553E+01   0.259450E+02   0.475035E+02
   191   0.871280E+04   0.599858E+01   0.261163E+02   0.475607E+02
   192   0.870121E+04   0.603155E+01   0.262875E+02   0.476172E+02
   193   0.868966E+04   0.606445E+01   0.264586E+02   0.476733E+02
   194   0.867816E+04   0.609728E+01   0.266295E+02   0.477289E+02
   195   0.866670E+04   0.613002E+01   0.268003E+02   0.477841E+02
   196   0.865528E+04   0.616269E+01   0.269709E+02   0.478387E+02
   197   0.864391E+04   0.619528E+01   0.271415E+02   0.478930E+02
   198   0.863258E+04   0.622780E+01   0.273119E+02   0.479468E+02
   199   0.862129E+04   0.626023E+01   0.274821E+02   0.480002E+02
   200   0.861004E+04   0.629259E+01   0.276522E+02   0.480532E+02
   201   0.859884E+04   0.632487E+01   0.278222E+02   0.481059E+02
   202   0.858769E+04   0.635706E+01   0.279921E+02   0.481582E+02
   203   0.857657E+04   0.638918E+01   0.281618E+02   0.482101E+02
   204   0.856550E+04   0.642122E+01   0.283313E+02   0.482617E+02
   205   0.855447E+04   0.645319E+01   0.285007E+02   0.483130E+02
   206   0.854348E+04   0.648507E+01   0.286700E+02   0.483639E+02
   207   0.853253E+04   0.651687E+01   0.288392E+02   0.484146E+02
   208   0.852162E+04   0.654860E+01   0.290082E+02   0.484648E+02
   209   0.851075E+04   0.658025E+01   0.291771E+02   0.485148E+02
   210   0.849992E+04   0.661182E+01   0.293458E+02   0.485645E+02
   211   0.848914E+04   0.664331E+01   0.295144E+02   0.486139E+02
   212   0.847839E+04   0.667472E+01   0.296828E+02   0.486630E+02
   213   0.846768E+04   0.670606E+01   0.298512E+02   0.487118E+02
   214   0.845701E+04   0.673731E+01   0.300194E+02   0.487604E+02
   215   0.844637E+04   0.676849E+01   0.301874E+02   0.488086E+02
   216   0.843578E+04   0.679959E+01   0.303553E+02   0.488567E+02
   217   0.842522E+04   0.683062E+01   0.305231E+02   0.489044E+02
   218   0.841470E+04   0.686157E+01   0.306907E+02   0.489519E+02
   219   0.840422E+04   0.689243E+01   0.308582E+02   0.489992E+02
