#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.464792E-01   0.505800E+07   0.502450E+07  -0.519921E+02   0.813117E+02   0.985570E+06   0.503719E+07   0.505307E+07   0.503719E+07  -0.129240E+00   0.256144E+07   0.256107E+07   0.267565E+01
   0.507045E-01   0.467811E+07   0.464996E+07  -0.491477E+02   0.631280E+02   0.827029E+06   0.465895E+07   0.467397E+07   0.465895E+07  -0.119535E+00   0.236918E+07   0.236886E+07   0.206714E+01
   0.549299E-01   0.436889E+07   0.434605E+07  -0.396497E+02   0.522030E+02   0.704286E+06   0.435124E+07   0.436553E+07   0.435124E+07  -0.111640E+00   0.221276E+07   0.221250E+07   0.158342E+01
   0.591553E-01   0.410683E+07   0.408860E+07  -0.336781E+02   0.396607E+02   0.606418E+06   0.409050E+07   0.410415E+07   0.409050E+07  -0.104950E+00   0.208021E+07   0.207999E+07   0.122272E+01
   0.633807E-01   0.387260E+07   0.385785E+07  -0.229162E+02   0.351070E+02   0.525920E+06   0.385737E+07   0.387043E+07   0.385737E+07  -0.989693E-01   0.196170E+07   0.196152E+07   0.973924E+00
   0.676061E-01   0.365229E+07   0.363970E+07  -0.229802E+02   0.273142E+02   0.457855E+06   0.363798E+07   0.365044E+07   0.363798E+07  -0.933402E-01   0.185016E+07   0.184999E+07   0.818605E+00
   0.718314E-01   0.343783E+07   0.342613E+07  -0.224498E+02   0.236234E+02   0.399159E+06   0.342426E+07   0.343611E+07   0.342426E+07  -0.878567E-01   0.174150E+07   0.174134E+07   0.733869E+00
   0.760568E-01   0.322616E+07   0.321431E+07  -0.165937E+02   0.197739E+02   0.347998E+06   0.321319E+07   0.322442E+07   0.321319E+07  -0.824413E-01   0.163418E+07   0.163402E+07   0.695697E+00
   0.802822E-01   0.301891E+07   0.300626E+07  -0.152741E+02   0.159581E+02   0.303389E+06   0.300646E+07   0.301705E+07   0.300646E+07  -0.771372E-01   0.152907E+07   0.152890E+07   0.681885E+00
   0.845076E-01   0.282032E+07   0.280661E+07  -0.191338E+02   0.143523E+02   0.264755E+06   0.280834E+07   0.281830E+07   0.280834E+07  -0.720540E-01   0.142833E+07   0.142816E+07   0.674320E+00
   0.887330E-01   0.263562E+07   0.262097E+07  -0.854313E+01   0.112347E+02   0.231678E+06   0.262409E+07   0.263347E+07   0.262409E+07  -0.673267E-01   0.133464E+07   0.133446E+07   0.660309E+00
   0.939730E-01   0.243270E+07   0.241747E+07  -0.108143E+02   0.950379E+01   0.197726E+06   0.242175E+07   0.243046E+07   0.242175E+07  -0.621352E-01   0.123174E+07   0.123156E+07   0.623977E+00
   0.992131E-01   0.226331E+07   0.224839E+07  -0.726898E+01   0.824663E+01   0.170650E+06   0.225296E+07   0.226112E+07   0.225296E+07  -0.578044E-01   0.114590E+07   0.114574E+07   0.564951E+00
   0.104453E+00   0.212718E+07   0.211344E+07  -0.299858E+01   0.706694E+01   0.149230E+06   0.211745E+07   0.212516E+07   0.211745E+07  -0.543276E-01   0.107699E+07   0.107684E+07   0.489726E+00
   0.109693E+00   0.201901E+07   0.200704E+07  -0.679620E+01   0.591121E+01   0.132155E+06   0.200989E+07   0.201725E+07   0.200989E+07  -0.515681E-01   0.102230E+07   0.102216E+07   0.409270E+00
   0.114933E+00   0.193024E+07   0.192021E+07  -0.653303E+01   0.494381E+01   0.118181E+06   0.192169E+07   0.192876E+07   0.192169E+07  -0.493052E-01   0.977441E+06   0.977326E+06   0.334856E+00
   0.120173E+00   0.185145E+07   0.184317E+07  -0.394347E+01   0.429198E+01   0.106279E+06   0.184343E+07   0.185023E+07   0.184343E+07  -0.472971E-01   0.937637E+06   0.937538E+06   0.274906E+00
   0.125413E+00   0.177475E+07   0.176771E+07  -0.343824E+01   0.389685E+01   0.957186E+05   0.176716E+07   0.177371E+07   0.176716E+07  -0.453404E-01   0.898853E+06   0.898765E+06   0.233403E+00
   0.130654E+00   0.169527E+07   0.168885E+07  -0.190303E+01   0.357301E+01   0.860747E+05   0.168805E+07   0.169433E+07   0.168805E+07  -0.433106E-01   0.858618E+06   0.858536E+06   0.209766E+00
   0.135894E+00   0.161173E+07   0.160536E+07  -0.168798E+01   0.317618E+01   0.771792E+05   0.160481E+07   0.161079E+07   0.160481E+07  -0.411748E-01   0.816282E+06   0.816201E+06   0.199924E+00
   0.141134E+00   0.152593E+07   0.151922E+07  -0.238028E+01   0.270727E+01   0.690336E+05   0.151926E+07   0.152494E+07   0.151926E+07  -0.389798E-01   0.772773E+06   0.772689E+06   0.198005E+00
   0.146374E+00   0.144158E+07   0.143440E+07  -0.230004E+01   0.227451E+01   0.617156E+05   0.143514E+07   0.144053E+07   0.143514E+07  -0.368217E-01   0.729993E+06   0.729906E+06   0.198087E+00
   0.151614E+00   0.136287E+07   0.135531E+07  -0.316650E+01   0.197372E+01   0.552988E+05   0.135666E+07   0.136176E+07   0.135666E+07  -0.348080E-01   0.690075E+06   0.689986E+06   0.195594E+00
   0.156854E+00   0.129311E+07   0.128542E+07  -0.206973E+01   0.180421E+01   0.498025E+05   0.128713E+07   0.129198E+07   0.128713E+07  -0.330241E-01   0.654713E+06   0.654625E+06   0.188044E+00
   0.162094E+00   0.123391E+07   0.122642E+07  -0.300705E+00   0.168515E+01   0.451721E+05   0.122817E+07   0.123281E+07   0.122817E+07  -0.315114E-01   0.624726E+06   0.624641E+06   0.175142E+00
   0.167334E+00   0.118492E+07   0.117792E+07  -0.107003E+01   0.153857E+01   0.412890E+05   0.117943E+07   0.118389E+07   0.117943E+07  -0.302607E-01   0.599932E+06   0.599853E+06   0.158316E+00
   0.172574E+00   0.114412E+07   0.113780E+07  -0.128548E+01   0.135323E+01   0.379953E+05   0.113888E+07   0.114319E+07   0.113888E+07  -0.292204E-01   0.579308E+06   0.579235E+06   0.139952E+00
   0.177814E+00   0.110857E+07   0.110297E+07  -0.722414E+00   0.117768E+01   0.351278E+05   0.110356E+07   0.110775E+07   0.110356E+07  -0.283142E-01   0.561344E+06   0.561279E+06   0.122562E+00
   0.183054E+00   0.107519E+07   0.107023E+07  -0.131024E+01   0.106158E+01   0.325451E+05   0.107040E+07   0.107446E+07   0.107040E+07  -0.274634E-01   0.544476E+06   0.544417E+06   0.108106E+00
   0.188294E+00   0.104155E+07   0.103704E+07  -0.119136E+01   0.100581E+01   0.301469E+05   0.103694E+07   0.104088E+07   0.103694E+07  -0.266049E-01   0.527458E+06   0.527403E+06   0.976033E-01
   0.193534E+00   0.100627E+07   0.100201E+07  -0.492987E+00   0.965447E+00   0.278787E+05   0.100183E+07   0.100565E+07   0.100183E+07  -0.257041E-01   0.509601E+06   0.509548E+06   0.910589E-01
   0.198775E+00   0.969232E+06   0.965005E+06  -0.468245E+00   0.895244E+00   0.257266E+05   0.964930E+06   0.968610E+06   0.964930E+06  -0.247574E-01   0.490832E+06   0.490780E+06   0.876550E-01
   0.204015E+00   0.931278E+06   0.926961E+06  -0.542858E+00   0.790121E+00   0.237040E+05   0.927103E+06   0.930643E+06   0.927103E+06  -0.237868E-01   0.471592E+06   0.471539E+06   0.861072E-01
   0.209255E+00   0.893857E+06   0.889404E+06  -0.716259E+00   0.683957E+00   0.218363E+05   0.889801E+06   0.893202E+06   0.889801E+06  -0.228298E-01   0.452619E+06   0.452565E+06   0.850611E-01
   0.214495E+00   0.858503E+06   0.853948E+06  -0.678521E+00   0.613181E+00   0.201460E+05   0.854564E+06   0.857833E+06   0.854564E+06  -0.219257E-01   0.434696E+06   0.434642E+06   0.834261E-01
   0.219735E+00   0.826407E+06   0.821840E+06  -0.385959E+00   0.583013E+00   0.186438E+05   0.822585E+06   0.825735E+06   0.822585E+06  -0.211052E-01   0.418430E+06   0.418377E+06   0.805757E-01
   0.224975E+00   0.798142E+06   0.793677E+06  -0.530464E+00   0.566724E+00   0.173245E+05   0.794440E+06   0.797485E+06   0.794440E+06  -0.203831E-01   0.404114E+06   0.404063E+06   0.763969E-01
   0.230215E+00   0.773589E+06   0.769330E+06  -0.475714E+00   0.534119E+00   0.161683E+05   0.770009E+06   0.772962E+06   0.770009E+06  -0.197562E-01   0.391687E+06   0.391638E+06   0.712035E-01
   0.235455E+00   0.752058E+06   0.748071E+06  -0.152849E+00   0.479327E+00   0.151460E+05   0.748598E+06   0.751472E+06   0.748598E+06  -0.192069E-01   0.380796E+06   0.380750E+06   0.655663E-01
   0.240695E+00   0.732525E+06   0.728829E+06  -0.343372E+00   0.422394E+00   0.142253E+05   0.729180E+06   0.731981E+06   0.729180E+06  -0.187087E-01   0.370919E+06   0.370876E+06   0.601152E-01
   0.245935E+00   0.713920E+06   0.710486E+06  -0.435908E+00   0.386504E+00   0.133773E+05   0.710682E+06   0.713414E+06   0.710682E+06  -0.182341E-01   0.361510E+06   0.361469E+06   0.553682E-01
   0.251175E+00   0.695380E+06   0.692147E+06  -0.217132E+00   0.375139E+00   0.125803E+05   0.692242E+06   0.694905E+06   0.692242E+06  -0.177609E-01   0.352130E+06   0.352091E+06   0.516230E-01
   0.256415E+00   0.676416E+06   0.673307E+06  -0.288395E+00   0.370523E+00   0.118221E+05   0.673366E+06   0.675958E+06   0.673366E+06  -0.172767E-01   0.342529E+06   0.342491E+06   0.489239E-01
   0.261655E+00   0.656949E+06   0.653895E+06  -0.363325E+00   0.352298E+00   0.110988E+05   0.653981E+06   0.656500E+06   0.653981E+06  -0.167793E-01   0.332668E+06   0.332631E+06   0.470973E-01
