#    L    TT             EE             BB             TE          
   320   0.227235E+04   0.127782E+02   0.425414E-01  -0.659038E+01
   321   0.226376E+04   0.129645E+02   0.425884E-01  -0.839257E+01
   322   0.225582E+04   0.131506E+02   0.426358E-01  -0.102224E+02
   323   0.224855E+04   0.133364E+02   0.426835E-01  -0.120785E+02
   324   0.224191E+04   0.135218E+02   0.427318E-01  -0.139597E+02
   325   0.223593E+04   0.137067E+02   0.427805E-01  -0.158661E+02
   326   0.223059E+04   0.138912E+02   0.428298E-01  -0.177966E+02
   327   0.222588E+04   0.140751E+02   0.428798E-01  -0.197513E+02
   328   0.222180E+04   0.142583E+02   0.429305E-01  -0.217289E+02
   329   0.221835E+04   0.144408E+02   0.429820E-01  -0.237275E+02
   330   0.221551E+04   0.146225E+02   0.430344E-01  -0.257479E+02
   331   0.221328E+04   0.148033E+02   0.430876E-01  -0.277890E+02
   332   0.221166E+04   0.149832E+02   0.431419E-01  -0.298501E+02
   333   0.221063E+04   0.151620E+02   0.431972E-01  -0.319293E+02
   334   0.221019E+04   0.153398E+02   0.432537E-01  -0.340268E+02
   335   0.221034E+04   0.155164E+02   0.433114E-01  -0.361414E+02
   336   0.221107E+04   0.156918E+02   0.433704E-01  -0.382724E+02
   337   0.221237E+04   0.158659E+02   0.434307E-01  -0.404179E+02
   338   0.221423E+04   0.160387E+02   0.434924E-01  -0.425781E+02
   339   0.221665E+04   0.162100E+02   0.435556E-01  -0.447510E+02
   340   0.221963E+04   0.163799E+02   0.436204E-01  -0.469360E+02
   341   0.222314E+04   0.165482E+02   0.436868E-01  -0.491327E+02
   342   0.222719E+04   0.167148E+02   0.437550E-01  -0.513406E+02
   343   0.223176E+04   0.168798E+02   0.438249E-01  -0.535575E+02
   344   0.223683E+04   0.170428E+02   0.438967E-01  -0.557838E+02
   345   0.224241E+04   0.172040E+02   0.439705E-01  -0.580181E+02
   346   0.224848E+04   0.173632E+02   0.440462E-01  -0.602599E+02
   347   0.225503E+04   0.175204E+02   0.441241E-01  -0.625081E+02
   348   0.226205E+04   0.176754E+02   0.442042E-01  -0.647620E+02
   349   0.226954E+04   0.178283E+02   0.442864E-01  -0.670189E+02
   350   0.227748E+04   0.179789E+02   0.443711E-01  -0.692790E+02
   351   0.228588E+04   0.181274E+02   0.444581E-01  -0.715404E+02
   352   0.229473E+04   0.182735E+02   0.445474E-01  -0.738022E+02
   353   0.230402E+04   0.184173E+02   0.446391E-01  -0.760645E+02
   354   0.231374E+04   0.185588E+02   0.447330E-01  -0.783248E+02
   355   0.232390E+04   0.186977E+02   0.448291E-01  -0.805839E+02
   356   0.233448E+04   0.188341E+02   0.449273E-01  -0.828410E+02
   357   0.234547E+04   0.189679E+02   0.450276E-01  -0.850954E+02
   358   0.235687E+04   0.190991E+02   0.451300E-01  -0.873462E+02
   359   0.236868E+04   0.192274E+02   0.452344E-01  -0.895934E+02
   360   0.238086E+04   0.193530E+02   0.453407E-01  -0.918354E+02
   361   0.239344E+04   0.194757E+02   0.454489E-01  -0.940733E+02
   362   0.240638E+04   0.195954E+02   0.455589E-01  -0.963051E+02
   363   0.241970E+04   0.197121E+02   0.456707E-01  -0.985302E+02
   364   0.243336E+04   0.198258E+02   0.457842E-01  -0.100748E+03
   365   0.244739E+04   0.199364E+02   0.458994E-01  -0.102957E+03
   366   0.246176E+04   0.200438E+02   0.460162E-01  -0.105158E+03
   367   0.247646E+04   0.201481E+02   0.461346E-01  -0.107348E+03
   368   0.249149E+04   0.202491E+02   0.462546E-01  -0.109528E+03
   369   0.250683E+04   0.203469E+02   0.463760E-01  -0.111696E+03
   370   0.252249E+04   0.204412E+02   0.464988E-01  -0.113852E+03
   371   0.253844E+04   0.205323E+02   0.466229E-01  -0.115994E+03
   372   0.255468E+04   0.206199E+02   0.467484E-01  -0.118123E+03
   373   0.257120E+04   0.207041E+02   0.468751E-01  -0.120237E+03
   374   0.258799E+04   0.207849E+02   0.470030E-01  -0.122335E+03
