#    L    TT             EE             BB             TE          
   252   0.449729E+04   0.253142E+01   0.136854E-01   0.331328E+02
   253   0.444223E+04   0.261808E+01   0.136936E-01   0.338332E+02
   254   0.438778E+04   0.270701E+01   0.136975E-01   0.344978E+02
   255   0.433391E+04   0.279820E+01   0.136973E-01   0.351264E+02
   256   0.428063E+04   0.289166E+01   0.136930E-01   0.357186E+02
   257   0.422794E+04   0.298740E+01   0.136848E-01   0.362745E+02
   258   0.417585E+04   0.308540E+01   0.136726E-01   0.367933E+02
   259   0.412436E+04   0.318568E+01   0.136567E-01   0.372761E+02
   260   0.407349E+04   0.328824E+01   0.136371E-01   0.377211E+02
   261   0.402323E+04   0.339307E+01   0.136138E-01   0.381296E+02
   262   0.397360E+04   0.350017E+01   0.135870E-01   0.385004E+02
   263   0.392460E+04   0.360954E+01   0.135567E-01   0.388343E+02
   264   0.387624E+04   0.372118E+01   0.135231E-01   0.391300E+02
   265   0.382849E+04   0.383506E+01   0.134862E-01   0.393890E+02
   266   0.378137E+04   0.395119E+01   0.134461E-01   0.396093E+02
   267   0.373489E+04   0.406955E+01   0.134029E-01   0.397909E+02
   268   0.368904E+04   0.419012E+01   0.133566E-01   0.399348E+02
   269   0.364381E+04   0.431291E+01   0.133074E-01   0.400395E+02
   270   0.359921E+04   0.443788E+01   0.132554E-01   0.401060E+02
   271   0.355525E+04   0.456503E+01   0.132005E-01   0.401327E+02
   272   0.351191E+04   0.469436E+01   0.131430E-01   0.401208E+02
   273   0.346923E+04   0.482580E+01   0.130829E-01   0.400692E+02
   274   0.342718E+04   0.495938E+01   0.130203E-01   0.399793E+02
   275   0.338579E+04   0.509506E+01   0.129553E-01   0.398493E+02
   276   0.334505E+04   0.523282E+01   0.128879E-01   0.396804E+02
   277   0.330498E+04   0.537264E+01   0.128183E-01   0.394717E+02
   278   0.326556E+04   0.551450E+01   0.127465E-01   0.392228E+02
   279   0.322681E+04   0.565835E+01   0.126726E-01   0.389350E+02
   280   0.318874E+04   0.580418E+01   0.125967E-01   0.386073E+02
   281   0.315133E+04   0.595197E+01   0.125189E-01   0.382402E+02
   282   0.311461E+04   0.610167E+01   0.124393E-01   0.378335E+02
   283   0.307858E+04   0.625325E+01   0.123579E-01   0.373868E+02
   284   0.304323E+04   0.640669E+01   0.122749E-01   0.369000E+02
   285   0.300857E+04   0.656196E+01   0.121903E-01   0.363735E+02
   286   0.297460E+04   0.671901E+01   0.121042E-01   0.358078E+02
   287   0.294134E+04   0.687781E+01   0.120167E-01   0.352027E+02
   288   0.290879E+04   0.703832E+01   0.119279E-01   0.345571E+02
   289   0.287694E+04   0.720050E+01   0.118379E-01   0.338731E+02
   290   0.284581E+04   0.736432E+01   0.117468E-01   0.331489E+02
   291   0.281540E+04   0.752974E+01   0.116546E-01   0.323857E+02
   292   0.278571E+04   0.769665E+01   0.115614E-01   0.315832E+02
   293   0.275675E+04   0.786511E+01   0.114673E-01   0.307420E+02
   294   0.272851E+04   0.803504E+01   0.113725E-01   0.298611E+02
   295   0.270101E+04   0.820630E+01   0.112769E-01   0.289417E+02
   296   0.267425E+04   0.837897E+01   0.111807E-01   0.279836E+02
   297   0.264821E+04   0.855288E+01   0.110840E-01   0.269857E+02
   298   0.262293E+04   0.872806E+01   0.109868E-01   0.259492E+02
   299   0.259839E+04   0.890441E+01   0.108892E-01   0.248748E+02
   300   0.257460E+04   0.908186E+01   0.107914E-01   0.237620E+02
   301   0.255157E+04   0.926049E+01   0.106933E-01   0.226115E+02
   302   0.252930E+04   0.944008E+01   0.105951E-01   0.214237E+02
   303   0.250778E+04   0.962070E+01   0.104969E-01   0.201991E+02
   304   0.248702E+04   0.980227E+01   0.103986E-01   0.189384E+02
   305   0.246700E+04   0.998473E+01   0.103003E-01   0.176412E+02
   306   0.244772E+04   0.101681E+02   0.102021E-01   0.163082E+02
   307   0.242919E+04   0.103521E+02   0.101041E-01   0.149398E+02
   308   0.241139E+04   0.105370E+02   0.100062E-01   0.135365E+02
   309   0.239433E+04   0.107224E+02   0.990862E-02   0.120990E+02
   310   0.237798E+04   0.109084E+02   0.981134E-02   0.106277E+02
   311   0.236235E+04   0.110950E+02   0.971442E-02   0.912161E+01
   312   0.234744E+04   0.112820E+02   0.961793E-02   0.758285E+01
   313   0.233324E+04   0.114694E+02   0.952192E-02   0.601117E+01
   314   0.231975E+04   0.116572E+02   0.942645E-02   0.440710E+01
   315   0.230695E+04   0.118451E+02   0.933157E-02   0.277115E+01
   316   0.229485E+04   0.120334E+02   0.923734E-02   0.110388E+01
   317   0.228344E+04   0.122217E+02   0.914382E-02  -0.593464E+00
   318   0.227272E+04   0.124101E+02   0.905106E-02  -0.232108E+01
   319   0.226269E+04   0.125985E+02   0.895911E-02  -0.407844E+01
   320   0.225332E+04   0.127869E+02   0.886805E-02  -0.586428E+01
   321   0.224464E+04   0.129751E+02   0.877792E-02  -0.767806E+01
   322   0.223661E+04   0.131631E+02   0.868877E-02  -0.952000E+01
   323   0.222925E+04   0.133508E+02   0.860067E-02  -0.113888E+02
   324   0.222254E+04   0.135381E+02   0.851368E-02  -0.132833E+02
   325   0.221649E+04   0.137251E+02   0.842784E-02  -0.152035E+02
   326   0.221108E+04   0.139116E+02   0.834322E-02  -0.171483E+02
   327   0.220631E+04   0.140975E+02   0.825986E-02  -0.191179E+02
   328   0.220217E+04   0.142828E+02   0.817784E-02  -0.211110E+02
   329   0.219866E+04   0.144673E+02   0.809720E-02  -0.231255E+02
   330   0.219577E+04   0.146511E+02   0.801800E-02  -0.251625E+02
   331   0.219349E+04   0.148340E+02   0.794030E-02  -0.272207E+02
   332   0.219183E+04   0.150161E+02   0.786415E-02  -0.292995E+02
   333   0.219076E+04   0.151971E+02   0.778961E-02  -0.313969E+02
